Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-09-06,1038.04,1038.79,1029.96,1032.09,5.9500000000000455,-8.829999999999927,1,1026.1860000000001,1053.2332000000001,0
NIFTY 50,1996-09-09,1030.42,1031.22,1012.34,1013.88,16.540000000000077,-18.879999999999995,1,1026.6699999999998,1050.9708,0
NIFTY 50,1996-09-10,1014.87,1014.87,996.75,1001.15,13.720000000000027,-18.120000000000005,1,1025.317,1048.5538000000001,0
NIFTY 50,1996-09-11,1001.86,1008.79,989.71,991.34,10.519999999999982,-19.079999999999927,1,1021.742,1046.2006000000001,0
NIFTY 50,1996-09-12,990.88,992.68,981.01,989.28,1.6000000000000227,-11.669999999999959,1,1018.0840000000001,1043.9862,0
NIFTY 50,1996-09-13,991.65,991.86,979.8,980.72,10.92999999999995,-12.06000000000006,1,1013.256,1042.0006,0
NIFTY 50,1996-09-16,980.69,980.69,959.65,962.27,18.420000000000073,-21.040000000000077,1,1005.7880000000001,1039.486,1
NIFTY 50,1996-09-17,965.02,975.19,962.93,971.21,-6.190000000000055,-12.260000000000105,1,1000.582,1037.0502000000001,1
NIFTY 50,1996-09-18,972.73,996.97,969.67,994.43,-21.699999999999932,-27.300000000000068,1,997.384,1034.8694,0
NIFTY 50,1996-09-19,996.41,1001.25,975.85,977.76,18.649999999999977,-25.399999999999977,1,991.4129999999999,1032.6494,0
NIFTY 50,1996-09-20,979.14,984.45,973.09,977.03,2.1100000000000136,-11.360000000000014,1,985.9069999999999,1030.4576,0
NIFTY 50,1996-09-23,976.08,976.08,963.19,968.84,7.240000000000009,-12.889999999999986,1,981.403,1027.8856,1
NIFTY 50,1996-09-24,968.78,972.74,965.69,968.91,-0.12999999999999545,-7.0499999999999545,1,978.1790000000001,1025.4768000000001,1
NIFTY 50,1996-09-25,967.98,981.75,967.98,971.29,-3.3099999999999454,-13.769999999999982,1,976.174,1023.035,0
